alpha,beta,lambda,buffer_size,threshold,stress_p99,avg_calmar,avg_cash_time,avg_switches,spx_ann_return,spx_max_dd,spx_calmar,spx_cash_time,spx_switches,iwm_ann_return,iwm_max_dd,iwm_calmar,iwm_cash_time,iwm_switches,btc_ann_return,btc_max_dd,btc_calmar,btc_cash_time,btc_switches
0,0,5,1.5,0.25,4.248633167890397,0.9803689505394324,9.253450439146803,78.0,20.46183911741435,-15.867210889113991,1.2895674772591945,9.253450439146803,78,20.11977637751785,-17.22187213292745,1.168268828279693,9.253450439146803,78,39.79283717196771,-82.3407043834802,0.4832705460794096,9.253450439146803,78
0,0,5,1.5,0.5,4.248633167890397,1.131996233340867,12.766624843161855,92.0,21.468082727599192,-14.277584865958094,1.5036214408212227,12.766624843161855,92,21.818395692406224,-15.803830970206235,1.3805763762937475,12.766624843161855,92,39.05459959489996,-76.30968213622637,0.5117908829076309,12.766624843161855,92
0,0,5,1.5,0.75,4.248633167890397,1.344342873241165,16.37390213299874,102.0,21.02833503719421,-11.968555242399702,1.756965198497761,16.37390213299874,102,22.178170907886297,-12.796535365105377,1.7331387188100553,16.37390213299874,102,40.39047154883524,-74.3942417228809,0.5429247024156794,16.37390213299874,102
0,0,5,2.0,0.0,4.248633167890397,0.6101700246124908,4.109159347553327,40.0,16.080607288843794,-21.99217946878398,0.7311966197651689,4.109159347553327,40,15.353794981012259,-24.215076584761196,0.6340593195015771,4.109159347553327,40,37.089081951694936,-79.71789866180495,0.46525413457072645,4.109159347553327,40
0,0,5,2.0,0.25,4.248633167890397,0.6694034469729773,5.301129234629864,48.0,16.020402130263545,-20.97713944119084,0.7637076625808086,5.301129234629864,48,15.933963298907706,-19.315499443297956,0.824931467378465,5.301129234629864,48,34.94662595806825,-83.29128654498743,0.4195712109596581,5.301129234629864,48
0,0,5,2.0,0.5,4.248633167890397,0.8547712027829233,7.151819322459218,56.0,17.958487091818554,-16.913735319636412,1.061769428954538,7.151819322459218,56,18.291902335677346,-17.98533487407895,1.0170454130403894,7.151819322459218,56,40.75353382656108,-83.94158059890724,0.48549876635384226,7.151819322459218,56
0,0,5,2.0,0.75,4.248633167890397,0.9813367690370564,9.316185696361357,78.0,20.515591803496648,-15.867210889113913,1.2929551353963455,9.316185696361357,78,20.053541923578,-17.221872132927373,1.1644228785810464,9.316185696361357,78,40.06964579238341,-82.3407043834802,0.486632293133777,9.316185696361357,78
0,0,10,0.5,0.0,8.497266335780793,1.5271558530320872,21.079046424090343,106.0,20.729079527304407,-10.067245734117714,2.059061641562392,21.079046424090343,106,22.818391573308826,-11.796991497149623,1.9342551513088895,21.079046424090343,106,40.09141440224697,-68.1651996469748,0.5881507662249801,21.079046424090343,106
0,0,10,0.5,0.25,8.497266335780793,1.707969401006493,27.509410288582178,120.0,22.26040379812575,-9.604454752913016,2.317716556619126,27.50941028858218,120,25.881950392989328,-11.796991497149612,2.1939449900631804,27.50941028858218,120,37.68574774206299,-61.55321119681052,0.6122466563371716,27.50941028858218,120
0,0,10,0.5,0.5,8.497266335780793,1.7871149004880706,34.41028858218319,170.0,23.10351861959412,-9.604454752912972,2.405500282312951,34.41028858218319,170,28.046829276908536,-11.796991497149623,2.3774560898586037,34.41028858218319,170,40.486710163617225,-69.99918240592889,0.5783883292926579,34.41028858218319,170
0,0,10,0.5,0.75,8.497266335780793,1.9765454396633748,46.92597239648683,214.0,21.09851091720598,-7.124443602878561,2.961425774874734,46.92597239648683,214,26.72457228252223,-11.796991497149634,2.2653718356056602,46.92597239648683,214,43.529668436547,-61.93407948296632,0.7028387085097297,46.92597239648683,214
0,0,10,1.0,0.0,8.497266335780793,1.1369556285717415,12.672521957340022,96.0,21.460335035469647,-14.27758486595806,1.5030787935736503,12.672521957340022,96,21.96633001633346,-15.803830970206223,1.3899370385411571,12.672521957340022,96,39.51704929415774,-76.30968213622637,0.5178510536004168,12.672521957340022,96
0,0,10,1.0,0.25,8.497266335780793,1.3860253369676399,16.217063989962355,102.0,21.777777399045164,-11.968555242399715,1.8195828116241943,16.217063989962355,102,22.906026397230672,-12.796535365105344,1.7900178246443743,16.217063989962355,102,40.80340959959554,-74.3942417228809,0.5484753746343506,16.217063989962355,102
0,0,10,1.0,0.5,8.497266335780793,1.529219553984429,21.424090338770384,110.0,20.804548990883287,-10.067245734117659,2.0665581769179586,21.424090338770384,110,22.747424356862854,-11.796991497149634,1.928239446672403,21.424090338770384,110,40.412491042921594,-68.1651996469748,0.5928610383629254,21.424090338770384,110
0,0,10,1.0,0.75,8.497266335780793,1.6663129234493745,27.603513174404014,116.0,21.691037768013153,-9.604454752913005,2.2584351039224084,27.603513174404014,116,25.144288325951592,-11.796991497149623,2.1314153131352964,27.603513174404014,116,37.49134404760268,-61.55321119681052,0.6090883532904187,27.603513174404014,116
0,0,10,1.5,0.0,8.497266335780793,0.8786096944031435,6.8695106649937285,62.0,18.615910588384278,-16.91373531963639,1.100638636976405,6.869510664993728,62,19.169085855047463,-17.985334874078962,1.0658175668819245,6.869510664993728,62,39.39990138299161,-83.94158059890724,0.469372879351101,6.869510664993728,62
0,0,10,1.5,0.25,8.497266335780793,0.9803689505394324,9.253450439146803,78.0,20.46183911741435,-15.867210889113991,1.2895674772591945,9.253450439146803,78,20.11977637751785,-17.22187213292745,1.168268828279693,9.253450439146803,78,39.79283717196771,-82.3407043834802,0.4832705460794096,9.253450439146803,78
0,0,10,1.5,0.5,8.497266335780793,1.131996233340867,12.766624843161855,92.0,21.468082727599192,-14.277584865958094,1.5036214408212227,12.766624843161855,92,21.818395692406224,-15.803830970206235,1.3805763762937475,12.766624843161855,92,39.05459959489996,-76.30968213622637,0.5117908829076309,12.766624843161855,92
0,0,10,1.5,0.75,8.497266335780793,1.344342873241165,16.37390213299874,102.0,21.02833503719421,-11.968555242399702,1.756965198497761,16.37390213299874,102,22.178170907886297,-12.796535365105377,1.7331387188100553,16.37390213299874,102,40.39047154883524,-74.3942417228809,0.5429247024156794,16.37390213299874,102
0,0,10,2.0,0.0,8.497266335780793,0.6101700246124908,4.109159347553327,40.0,16.080607288843794,-21.99217946878398,0.7311966197651689,4.109159347553327,40,15.353794981012259,-24.215076584761196,0.6340593195015771,4.109159347553327,40,37.089081951694936,-79.71789866180495,0.46525413457072645,4.109159347553327,40
0,0,10,2.0,0.25,8.497266335780793,0.6694034469729773,5.301129234629864,48.0,16.020402130263545,-20.97713944119084,0.7637076625808086,5.301129234629864,48,15.933963298907706,-19.315499443297956,0.824931467378465,5.301129234629864,48,34.94662595806825,-83.29128654498743,0.4195712109596581,5.301129234629864,48
0,0,10,2.0,0.5,8.497266335780793,0.8547712027829233,7.151819322459218,56.0,17.958487091818554,-16.913735319636412,1.061769428954538,7.151819322459218,56,18.291902335677346,-17.98533487407895,1.0170454130403894,7.151819322459218,56,40.75353382656108,-83.94158059890724,0.48549876635384226,7.151819322459218,56
0,0,10,2.0,0.75,8.497266335780793,0.9813367690370564,9.316185696361357,78.0,20.515591803496648,-15.867210889113913,1.2929551353963455,9.316185696361357,78,20.053541923578,-17.221872132927373,1.1644228785810464,9.316185696361357,78,40.06964579238341,-82.3407043834802,0.486632293133777,9.316185696361357,78
0,0,20,0.5,0.0,16.994532671561586,1.5271558530320872,21.079046424090343,106.0,20.729079527304407,-10.067245734117714,2.059061641562392,21.079046424090343,106,22.818391573308826,-11.796991497149623,1.9342551513088895,21.079046424090343,106,40.09141440224697,-68.1651996469748,0.5881507662249801,21.079046424090343,106
0,0,20,0.5,0.25,16.994532671561586,1.707969401006493,27.509410288582178,120.0,22.26040379812575,-9.604454752913016,2.317716556619126,27.50941028858218,120,25.881950392989328,-11.796991497149612,2.1939449900631804,27.50941028858218,120,37.68574774206299,-61.55321119681052,0.6122466563371716,27.50941028858218,120
0,0,20,0.5,0.5,16.994532671561586,1.7871149004880706,34.41028858218319,170.0,23.10351861959412,-9.604454752912972,2.405500282312951,34.41028858218319,170,28.046829276908536,-11.796991497149623,2.3774560898586037,34.41028858218319,170,40.486710163617225,-69.99918240592889,0.5783883292926579,34.41028858218319,170
0,0,20,0.5,0.75,16.994532671561586,1.9765454396633748,46.92597239648683,214.0,21.09851091720598,-7.124443602878561,2.961425774874734,46.92597239648683,214,26.72457228252223,-11.796991497149634,2.2653718356056602,46.92597239648683,214,43.529668436547,-61.93407948296632,0.7028387085097297,46.92597239648683,214
0,0,20,1.0,0.0,16.994532671561586,1.1369556285717415,12.672521957340022,96.0,21.460335035469647,-14.27758486595806,1.5030787935736503,12.672521957340022,96,21.96633001633346,-15.803830970206223,1.3899370385411571,12.672521957340022,96,39.51704929415774,-76.30968213622637,0.5178510536004168,12.672521957340022,96
0,0,20,1.0,0.25,16.994532671561586,1.3860253369676399,16.217063989962355,102.0,21.777777399045164,-11.968555242399715,1.8195828116241943,16.217063989962355,102,22.906026397230672,-12.796535365105344,1.7900178246443743,16.217063989962355,102,40.80340959959554,-74.3942417228809,0.5484753746343506,16.217063989962355,102
0,0,20,1.0,0.5,16.994532671561586,1.529219553984429,21.424090338770384,110.0,20.804548990883287,-10.067245734117659,2.0665581769179586,21.424090338770384,110,22.747424356862854,-11.796991497149634,1.928239446672403,21.424090338770384,110,40.412491042921594,-68.1651996469748,0.5928610383629254,21.424090338770384,110
0,0,20,1.0,0.75,16.994532671561586,1.6663129234493745,27.603513174404014,116.0,21.691037768013153,-9.604454752913005,2.2584351039224084,27.603513174404014,116,25.144288325951592,-11.796991497149623,2.1314153131352964,27.603513174404014,116,37.49134404760268,-61.55321119681052,0.6090883532904187,27.603513174404014,116
0,0,20,1.5,0.0,16.994532671561586,0.8786096944031435,6.8695106649937285,62.0,18.615910588384278,-16.91373531963639,1.100638636976405,6.869510664993728,62,19.169085855047463,-17.985334874078962,1.0658175668819245,6.869510664993728,62,39.39990138299161,-83.94158059890724,0.469372879351101,6.869510664993728,62
